text,sentiment
low quality for dat kain plenti money,Negative
a good plot na terrible postproduction,Negative
e no dey recommended,Negative
di story great di acting poor,Negative
a star studded movie dey make stars look like say dem dey act for kindergarten play,Negative
e no dey recommended,Negative
foolish awful shameful a glowing shame,Negative
as dis movie line upnso e wan make i like am by force but hin dey difficult to enjoy in di middile of di dull screenwriting by genevieve nnaji,Negative
by sure na one of di worst horror movies wey dem do be this,Negative
talk about di acting though di tori script na sometin out of dis world,Negative
dem lie say na horror bridal shower na confam truth no be horrormovie na stupidmovie na complete and utterly stupid,Negative
e dey wholesomely pointless  a desperate money grab,Negative
major disappointment,Negative
e too dry,Negative
e dey charming but e no dey competent,Negative
destroyed by technical malfeasance the perfect picture proves say hin go dey miles away from being perfect,Negative
slow moving predictability  dis film belongs in di junior high circuit,Negative
but di sound and music dey very bad wey e destroy anytin wey good,Negative
i no watch all of dis crap not even second rate obviously racially inclined crap from an african nation wey no get film industry ,Negative
di storyline good di performance dey poor,Negative
di acting bad dem dey repeat di soundtrack di storyline was if one dey i for describe am here,Negative
di plot good but di technical aspects no good at all,Negative
a oldfashioned clumsy handling of a book with here untapped depth,Negative
notin dey good about that which bind us absolutely notin,Negative
production of dis movie tight but di heart dey missing,Negative
focus as dey for di relationship between joseph and suzy di movie give us small information on di feburary 13 1976 killing wey carry olusegun obasanjo to power ,Negative
talk rubbish dem no be serious pipu abeg no give dem your naira,Negative
na dis movie be di most depressing romantic comedy wey we don watch,Negative
be like say na di worst acting ever in a movie wey like say dem use plenti money make am,Negative
e too slow what a waste of time,Negative
i no fit believe say i spend 2 hours to watch dis movie,Negative
i no too like dis movie,Negative
plot don almost finish,Negative
di dialogue weak di battle scenes no dey professional,Negative
from poor directing to crap story acting wey dey questionable to di one wey no dey reasonable di screenwriting dey shallow to editing wey bad,Negative
dis movie dey ugly,Negative
asides say e dey terrible predictable and hin dey feature acting wey dey below average t is plagued be a befumbling series of ordinary attempts to recreate worn out crimes caper stapless,Negative
i hate as dem name dis movie,Negative
e dey uninteresting and e dey dull efunsetan aniwura na expos in gratuitously lazy and na painfully bad toritelling,Negative
i dey vex,Negative
di lack of landscape posters for nollywood films,Negative
absolute rubbish,Negative
dis film promised so much but e turn out,Negative
dem use smash bros title cards to introduce di characters,Negative
di movie just dey dead and slow throughout,Negative
hin promise laff but di comedy small and e try comot smile from our mouth rather than di confam laff wey you go expect when you come cinema for comedy,Negative
abigail no ey very good di bad guy na like moustache twister and dem figure am out say e no dey alright make black pipu quick go back,Negative
di leaad female role na huge disappointment,Negative
di ending na di only sweet part of dis for me e good for her,Negative
a misrepresentation  dis na disgrace and bad disservice to can shame on dis film,Negative
di movie na very bad movie 90s minutes of dissapointing sound editing and acting,Negative
confused  shey na like dis a good movie be for africa in 2012 if na like dis then e greati i suppose wonder  in di case if e dey better in 2021,Negative
 knock out blessing na useless movie wey dem no suppose do or wey dem no suppose release for everybodi rubbish,Negative
e just long anyhow  for me ,Negative
for actors wey no be professional wey no get direction from akinropo di sound bad maybe na because say dem no get boom mics,Negative
suga suga get plenti eyes rolling scenes wey end in a dissapointing resolution of a weak conflict,Negative
dishearteningly enitan don change from lost soul to a scholar and an artist get shoved into di final minutes over after all di hopelessness,Negative
my first nigerian movie   for di past several years i don come across a number of reports wey dem tell us about how di country of nigeria get successful domestic film industry while di fact interest me i no see any nigerian movies wey dey available for me to look until i see one for netflix make i no lie i dey expect sometin wey dey very simple wey no get plenti skill and to large degree dis na true while there are some pretty good composed shotd andor direction wey show dat at times wey some real efforts was being made by di filmmakers di movie dey far from mistakes di cinematography no dey impressive dem dey very little in di way of production values and di acting by many of di performers no dey professional actually i fit don forgive all dat had di moviess biggest problem wey no exist dat being wey too long 121 minutes in length and e dey too slow paced dis is a story wey dem suppose cut down either at di script or when  ,Negative
unfortunately we no fit bear cowboy pistols space guns cut  sow costumes annoyingly film wey dey talentless and e dey unnecessarily long from remembrance ceremonies for footage wey dem show all buttered up funny revelations wey no dey intelligent of supposed  to  be shockers wey dey plain from di beginning,Negative
unfortunately di film dey formal and e dey slow with some daytimesoapy moments of emotional revelation,Negative
the movie no too great a bit of overreachingof di actors maybe overdirected but di context great,Negative
once upon a night na dud,Negative
as e dey you no fit get sense of place or character because ,Negative
dis movie dey too boring for cinema,Negative
bad,Negative
we call am kidnap  dem hold hostage for fifty odd minutes dem force us on an excursion of di resort grounds e no dey recommended,Negative
di lion no get plenti to roar shey pesin send their failed netflix pilot script to nigeria like say e be di losing super bowl teams tshirt,Negative
forceful toritelling and embarrassingly acting wey bad are di hallmarks of dis shabby pretender  e fit sound weird but dis move na like counterfeit of isoken,Negative
mumu movie  dis movie na joke,Negative
e dey very bad  di is realistically di worst movie wey i don watch for my life,Negative
action sequences no bad and hin heart dey di right place but e dey quite painful to watch in places,Negative
though di cinematography look like say e be professional no let dis film fool you na disaster,Negative
e no get head e no get tail na bad scriptna waste of time and na expensive rubbish di movie dey painful to watch i no fit recommend am,Negative
 dem dey lack deir star quality for dis movie,Negative
lolz,Negative
verdit e no dey recommended charmed e no dey charming,Negative
so disappointed some acting moments from di main actors king and amina but di actor wey dey support maladi hard to tell if e dey funny relief bikos hin role suppose dey serious,Negative
rubbish e no dey recommended for anybodi not even for children di movie dey very irritating,Negative
hands down na one of of worst movies wey i don watch ,Negative
worst remake  poor directing dey fot di beginning during ahannas flashbacks when hin witness a man wey dem set ablaze,Negative
rubbish    na real bad quality form netflix period    ,Negative
e dey too weak,Negative
 i just skim dis i no fit watch dis whole thing,Negative
you go regret say you waste  your time to watch dis movie,Negative
poor,Negative
e dey too basic,Negative
di millions be essentially a shameless wholesale theft of oceans film series scripts we no dey impressed,Negative
gbarada na typical idumota yoruba film with all di craziness wey come with dat subsection of nollywood,Negative
holy one of isreal  wetin genevieve tink say she ust do a movie dis na corruption in di highest di writers no sabi work,Negative
di worst movie production ever,Negative
na nonesense,Negative
special jollof na another cold turkey from nollywood in diaspora and as usual e dey highlighted by a yy tori and plenti of half hearted performance notin dey here to see na total waste of money and time ,Negative
i fit tell you with confidence say luna taking a shift dey very interesting pass chief daddy 2,Negative
i no realise how many plane crashes dey nigeria and dis film come out five days ,Negative
dis movie suppose better if to say dem used plenti money to produce am,Negative
wth no modulating direction and no softness dis one na long hard persistent work wey go dey best appreciated by friends and family of those wey dey cast and crew,Negative
e no worth your time,Negative
talk rubbish  e dey very rare say i dey give up on film i no fit finish am i give up after 30mins no waste your time,Negative
utimately dampening di film overall for what wey go don dey stronger e dey honest and sad roller coaster,Negative
unfortunately lack of attention to details no dey stop with di aforementioned examples,Negative
di wait  dey full of stars but e no dey shine  right e be like say you dey taste a glass of wine wey never develop well perhaps dem make am with unripe grapes,Negative
di movie dey very cheap,Negative
dis film too dry and e dey terrible  ,Negative
hallmarked by nonesense the culprit don complete and talk rubbish,Negative
i just watch am for academic purposes,Negative
e too slow whick kain waste of time,Negative
e too boring,Negative
dat movie too bad for nollywood,Negative
i catch di nollywood bug as i dey watch rattlesnake,Negative
with all hin funny exaggeration and acting performance wey dey flunctuate between overacting and acting wey bad,Negative
di production dey everywhere and most character no dey fully developed,Negative
na waste of time and resources,Negative
you go hate am,Negative
di storyline dey beautiful but na hin waste my precious 2hrs,Negative
dem  fit try as hard as dem may your excellency proved extensively impotent hin dey fail to deliver on its campaign promises,Negative
na total nonsense  e no even worth being filmed actors dey weak scripts was written by 12 year old e get poor sound quality,Negative
taking a beautiful soapopera route through di nigerian civil war of di 1960s wey turn out to be a navigational error from which dis lavishly appointed production fit never recover fully,Negative
dis wan fail to give us anytin e just dey boring e no get any step by step flow,Negative
di acting no gud atallbut di film still sweet,Negative
dis wan na no no di performance bad from di di main di main actor,Negative
e dey sweet even though say na mess up,Negative
dis film  be like collection of ideas wey neva too develop wit some kain romance wey dem put,Negative
di film script no fit pass for high school amateur production,Negative
i no like dis film atall,Negative
di acting too bad and di wey dem write am even worst,Negative
di acting just dull di dialogue inside just dey anyhow as if dem dey remind di actor dem wetin dem suppos yarn,Negative
everytin about dis film  na low budget,Negative
dem plan am just to waste ur time,Negative
na big mess,Negative
na only for broad nollywood comedy mode shey e really feel convinces,Negative
charmed no be charminghow ahbeg,Negative
horribledi show just dey go notin make sense inside at time,Negative
di fact say na musical make am very terrible,Negative
complete fictiondi acting worst and di tori no dey believable,Negative
lmao,Negative
big disappointment levi na drama wey no get purpose,Negative
di film dey remarkable as e no feel sori for im sef atall but e make farming lack mercy for audience dem face too,Negative
i dey convince e for beta as 10 to 30 minute short film  to test di wata,Negative
drama wey no get porpose,Negative
di intention gud but na novince attempt dem use  move di people wey dey watch,Negative
just imagine say u wan try run indomie without di spice   dis film too bad so tey 5 minutes to di finishing u go still dey wonda say wetin dey hapin,Negative
u no fit believe di screenplay,Negative
dem just gum diffrend jokes togeda memes and videos wey dem dey call comedy wey don cast  for naija social media call am dem own film and carry am go cinema if you dey big ontop social media u go don see many of dem many time before and you no go wan find dem to be funny here as di people wey produce am fail to win for copy copy comeleave social media  101 wahala for di bottom of di barrel acting di dialogue dey very boring and di main di main na di horrible scene lighting dis one na one big bad thing,Negative
dis film  ugly ugly na di main word ,Negative
anoda naija film wey dem use hype kill but e too empty i no fit recomend am for anybodi,Negative
no be say dis wan too bad but di script and how dem direct am na ein suffer am ,Negative
di opening of di fim clash dem no create backtori for laila appearance,Negative
di tori telling too poor and dem too rewrite history bikos of di film  plot,Negative
delay unnecessary and no make sense,Negative
no b beta film  ,Negative
dis film  no make for eye atall,Negative
na pieces tori pesin fit swear say na one primary sku pikin  just rush write am wen dem wan do last year presentation drama,Negative
 if sa you value your time make you work hard make you dodge dis for di premium,Negative
film fit bad but make im important,Negative
if i be film prof i kon dia try to  torture my student i no fit think for better required screening,Negative
e too  long acting wey bad wetin no get meanin too much,Negative
by force tori wit bad actin wey dey embarrassin wit di hallmark of dis shabby pretender,Negative
how film with dis subject matter wind up fit slow like dis and boring,Negative
dis one na tori wey get potential to critical acclaim but as dem take do am poor and e make am easy to forget,Negative
dis film get small charisma pass third eye series from nineties with pa olu jacob no put mouth for dis one,Negative
nollywood just dey disgrace us,Negative
survival of jelili na pageantry rubbish wey dey vex person,Negative
for di conclusion for original chief daddy film de introduction for one new character for de last scene hinted for  sequel but chief daddy self take sophomore curse for one new level of low,Negative
e no suppose to end therescreenwriter wey no sabi work ,Negative
di plot no dey realistic atall and e dia for everiwhere ,Negative
na big waste for time and money,Negative
dis film dey lame even children no go like ahm,Negative
bam   di actin of stelladi production of stella di directing of stelladi film na beta experience i just use one part of my yansh take sitdown for 7 hours dey watch am,Positive
na filmmaking wey dey wit global sense wey still dey comfort familiar,Positive
one beta smallsmall pickin film     i think say mirror boy na beta film for smallsmall pikin e dey simple for spirit but e dey powerful effective and dem act am well di song inside sef na confam e dey change and sweet for ear and dey join traditional idea with contemporary join,Positive
as i see richard mofedamijo rmd as ejiro one thug wey don retire wey dey kolet and crime lord na comfam depart from im role wey im dey do as papa wey get money,Positive
on august 1 one graduation parti wey bring many people   di film na like lowlife drama wey show us how family dem been dey manage to survive for before and how e no dey easy to comot body from past as past dey related wit wetin go sup for future   as graduation party dey sup na so papa wey dey don comot house teytey dipo come back every pesin    wey dey di family treat im return wit diffrent vibe which means we see how dey take survive di comot wey im comot as we learn lesson for im comot and wetin bring am com back our pity shift dem act di film well and di tori clear imsef smototh and natural notin like deep explaination e dey sweet to take see film wey show africa oyinbo witout any bad blood,Positive
adorable  di plot make sense wit some kain suspense and supernatural tins u fit talk wetin wan apun inside untill e reach di finishin di wey dem twist di plot gud beta performance i like kunle afolayan work wey dey always act for im film wey im directwrite and produce e beta for many way,Positive
doctor lanre na sweet shift  i dey hapi to be one of di first people wey watch dis film dis shift na swet shift di tori get beta plot wey just dey smooth wit di ogbonge performance of dem actor dis na must watch,Positive
as adenike  gurira na confam her face dey always shine no mata di kain emotion wey she wan show abi joy and she get di way wey dis woman dis kontri wey don too old manage to take join dis modern world,Positive
beta pass inside wetin beta pass,Positive
beta film confam film for inside oneleg future for naija wit all kain jagajaga hope inside honesty and madeliness turn to wahala female character come join beautiful strong and ditamind some kain i no care way wey dey hang ontop suffer wit helpness beta tension scene dem beta film ,Positive
beta award filmbeta award film and di actress sef dey lovely nah film wey stand out ,Positive
big toridis film pass im money anytime yarn us di tori of our wuruwuru for we area e pain na true,Positive
e make me wan learn more about naija history any film wey don make me wan learn more dey get e small patapata 4 star for my book,Positive
na hit film my bodi been dey do me wan kain before asper say i no too sabi naija cinima before but as di film dey finish wey dem do well  i see say na big audiovisual i com take eyes see  i recommend am wit my full chest,Positive
beta film wey get on point tins from our culture many many tins to learn from one woman wey fight strong to take get mouth for area wey be say na men dey top everiwere na film wey dey warm and awesome,Positive
e make sense no mind wetin bad belle dem talk about am make i no lie e borst brain i no even believe say na naija dem been shot am di production dey special and di stand well and di actor dem na a1 all of dem do dia part wella and make am sweet ,Positive
na very close studi about wahala wey been dey motherhood,Positive
na new sometin   even as i dey see im low rate  for my own eye nemaste wahala deserve e small patapata one time watch asper say na somtin new wit say e diffrend,Positive
confam film i like di tori i like di actin and i like am asper say na tori about wetin dey really sup for we area ,Positive
farming wey dem been plan for trouble watch but idris na star wey dey grow beckinsale big as mama pet,Positive
sweet film ,Positive
carry some credit give di film    for my own eye di film make sense and get some kain strong vawulence but i see am say e dey important to yarn di tori,Positive
di film too funny   dis film just too funny i just dey laff from start till e finish,Positive
nan,Positive
wey run for only a small sixty six minutes the delivery boy is the origina definition of quality over quantity dis film na one the best film wey we don see wey comeout for insideyoung nollywood di makers get beta good sense to take match technical quality wit a good tori dat one dey simple yet e dey engaging and no gree to take dey nonsense predictable like im lazy oda one young nollywood is wont to churn out    we enjoy say we see dis one today and so did the miniscule audience sef dey blessed to see am with sef all of us comt hall wit no regret and we dey sure say you too as the delivery boy dey far from being perfect we fit confidently tell you say if nollywood film go dey movie wey deserved your support wit pay to look am the delivery boy na one e dey bold wella and progressive hail material put head for am,Positive
film na everitin,Positive
e finish ami don look many naija film di quality fit diffrend wit tori cinematography actual acting sound quality dis film finish am for dat are dem,Positive
na dramedy wey dey com for pipo wey still young wey come lost imsef for inside modern africa,Positive
naija prince pull you charm you and tell you tori wey dey hard and get power witout to lost imsef di film no bring any sense no solution to sometin or pesin wey do wright or wrong,Positive
e dey waka jeje go inside somtin wey fine di film na about two friend wed don deyfrom smallpikin wey fight ontop wetin dem no gree,Positive
fine directing for di first timei see dis on tubi and i enjoy am e get im own bad but e no comot for how di film take greatna great film,Positive
art immitating lifeor is it,Positive
nan,Positive
dis film need mb75b85ore credit wella for im sensemaking documentarystyle filmmaking never see any pandemic film like this fresh look,Positive
i like dis film but i no just understand who die and who no die na horror film but i be 7 yrs pikin  and i dey ok i go rate am 6,Positive
na beta film and na tru tori,Positive
decent di acting and tori dey good but dem for make di productionexecution  beta small,Positive
na strong film wey go make ur heart move ,Positive
no be say e too sweetgud film british politicsha,Positive
e get some pat for di film wey fit make u cry  watch am ,Positive
ogbonge sound effectdi film really gud di actor dem get brain di finishing dey one kain but di sound effect na di best wey i don hear for any naija film till now,Positive
beta film but na for 18 i enjoy everi one one tin for the film ,Positive
di film bam and e open eye   di film pass message wey relate to many side of our society make we no lie everi face everi pat catch pesin,Positive
na sweet pawafu film    say i too enjoy di film na sure tin as i be pesin    wey no too like naija abi make i talk say nollywoodfilm dem ,Positive
surprise wey sweet body,Positive
na big step for naija film company  di actors dem do well dem act dia pat well well notin like disturbancedis wan talk plenti about naija film dem,Positive
cinematography  dey very clearmany star dem dey di acting na elelele and tok refer to tins wey been dey wahala naija,Positive
e dey relatable for afrika people dem wey been dey live for anoda lande enta my own sense if i be africa pesin    wey no dey stay for afrika and dey try to take belong for dat new house confam film,Positive
e show corruption as e take big reach,Positive
dis film  na tru tori and e dey very brilliant and e touch pesin ,Positive
na horrendous  storyline e dia worst i no even fit take myself to go watch to di end,Negative
so time no be enough effort dia put ahm for storytelling dis film na ridiculous,Negative
if person if you no pesin wey deserve your punishment make you just buy dem ticket,Negative
one among di worstfor di hype i go expect one great film but dis one na one of di worst film wey i don see for long,Negative
i want dig am before but di film get  pacing issue wey e need editing and e way too long,Negative
say anybody agree say di lead wey look like cross between anthony mackie wit daniel kaluuya,Negative
absurd film,Negative
de call dey badly retarded,Negative
everitin wey you no target minor though de tori  wey be say some time e no go clear and no go fit forgive dat kain dey dey dramatise am like small acting wit hurried through,Negative
dem no recommend am for anybody even no be for shudren big yamayama film another fathers day we go leave you with migraine with actin wey dey terrible and outstanding imbecilic storyline dis ridiculous low grade disney wannabe excuse for comedy go make anyperson and everiperson comot interest for nollywood forever dat type of sham and terrible waste  na waitin dey end to write tori and producing film wit only your sence to take advertise amusement park but people no go pay to watch long from advert but we suggest make you stay far from filth if you no sa you value your time wit power,Negative
29 for inside 100,Negative
miss opportunity,Negative
complete di 2hours wasteno bi watin i expect and di film many tin wey dey vex and dry vibes,Negative
di tori no too do me plenti tins and e com turn to fit talk watin go sup and repeat for end,Negative
na waste of timeno be plot wey too clear e no make sense and e just get one amn wey dey blow jamaica guy word and e no be jamaica,Negative
no be about how di film take make pesin laf fight and as dem dey pursue but na how e take bad wey wonder you,Negative
 romcom dia wherede kitchen hotel and country wey we see for here no go feel cook enta live enta or love enta,Negative
i go like to be  terrorist di funniest shit wey i do watch for long time,Negative
e no dia fantastic e dia entertaining e no dia spectacular,Negative
e no dia recommend tori wey dia intriguing unfortunately wey dem tell by insufficient talent,Negative
i want like dis film but i no just fit slow waka but e still dey predictable e no good,Negative
no vex e too poor wit everytin   na yeye waste of 2hrs of my life,Negative
midnight crew na yet anoda rejected ugly nollywood comedi wey we go avoid for cinima dem,Negative
anoda beta potential wey dem take  bad writing spoil,Negative
papa ajasco enta cinima wit dis kain yeye bad foolish comedi,Negative
i just wan try like dis film  i like plenti pipo inside di actor dem and di wey dem run di production dey ok but untop say na 1 hr 34 e be like say e just wan long one kain e reach point wey i just dey stop and stat dis film   i sha look am finish aftasome month ,Negative
 i hate say i waste my time come watch dis film ,Negative
sadly di soundtrack wey dem been use for di film  too much and e just dey make di film  be like thirty years old,Negative
e no live up reach to production value ,Negative
na confam yeye ,Negative
e bad so tey e lost di tone wey di first pat get wey no too gud but e get many tins to give,Negative
yeye film ,Negative
e gud untill di finishin  na confam bad mistake ,Negative
i been dey expect more ,Negative
for like two hours long di main pat of god calling no sweet e dull and bad blood,Negative
dem just waste potentiali just comot cinima wit some yamayama disappointment,Negative
dis wan na di film wey worst pass for di one wey i been don dey watch,Negative
di dialogue weak amature fight scene dem,Negative
fine wine for sweet more but dem no explore di tori potential well and di kain slow pace wey dem use con spoil am more,Negative
i no fit recommend am atall,Negative
dem just too hype am and e no makedi wey dem develop di pipo wey dey inside no too make as pipo wey dey watch fit dey irritatin wit some,Negative
ontop say na zeb ejiro produce and na chico ejiro direct am dem be two nollywood goliath dis night bus to lagos no arrive safely di nineties na complete waste of moni ,Negative
e no dey recommend originality na zero and e no too dey authentic ,Negative
film wey too bad ,Negative
e fresh e bold e dey salacious e no make sense e no satisfy,Negative
na oneway traffic average film for best    lionheart na film  wey generate many buzz for nollywood industrimake we check di kain international support wey e been get from netflix i just dey hapi to see how di film take go     as e don start na ein di film  don get some kain indigene luk wit some kain local pat wit some kain play play talk for local language   still na wan way traffic from there go on as di film  dey go   di plot just dey small and e dey easy to sabi wetin wan sup next i still dey shake from di shock say dis na comedy film still i still hail di production quality of dis film as e dey great and  large for headline actor wey talk dia line well for peter okoye wey mess upasper first time wey im dey direct pesin    fit just hail genevieve for di kain courage wey she get to do dis kain film  final note no guarantee say if you watch dis film you go like am and no go dey expect any firework,Negative
e get some tins wey i no dey like for film dem wit actor dem and setting wey be say na foreign ,Negative
film wey say na beta actor dem been park full  inside but di way dem run am poor,Negative
i no recommend dejavu na just normal yoruba film ,Negative
e no dey recommend dis film dey stressful,Negative
nah one of di nollywood movie dem wey better pass be dis and no be di kind typical nollywood classic wey i fear so much wey end for climax and e no offer any resolution 93 days get better resolution,Positive
charming and wey no dey usual for im cultural mix nah im dey make me wan visit lagos dis nah di kin world i wan dey live in if nigeria and indians fit overcom dia cultural difference dem we self fit do am,Positive
better movie e fit become better e fit be but as one of the pioneer scifi movie dem e better dis messaging dey clear  di lapses wey dey some scenes understableper di end of the movie e dey cool i no know wetin to expect i go watch more stuff of dis genre from naija  ,Positive
i like am pass wetin i think eespecially  rather timid wey be hollywood standard sex scenes dem i go like make some part of di book makw am to di movie dem especially di part wey dey about di braided head in di train from kano bit kanene dey exactly like how i take picture chimamanda for real life,Positive
talk am with raw emotion and violence wey dey lurid e transform element of im life stori into something wey dey disturbing coming of age drama wey go open person eye,Positive
nollywood dey produce work wey dey fantastic wey look like another sugar water romance  romeo and juliet,Positive
better movie wey dey refreshing i enjoy di layer wey dey di plot of di movie and true true critique of africa politician wey dey wealthy and affluent family dem,Positive
e too fine di movie dey amazing if you like the subject matter you go love dis movie,Positive
better movie nah light great watch e be he no dey heavey and quite funny without seeming to,Positive
i enjoy am every single scene dey fun to see di plot dey amazing i no believe say dat lady wey be ashawo fit do dat kin thing for him watch am,Positive
better movie i enjoy how e dey criticize di bad thinh wey wealthy and powerful dey do instead of glorifying dia existence,Positive
amazing di tori dey interesting di actors dey very amazing and e no dey predictable as i think e go be picture quality dey awesome nollywood don really grow,Positive
dis nah the nollywood evolution dis nah my best nigeria movie for yeal 2019 i no see any misplace for dis movie e dey perfect e dey simple and informative about things wey dey happen for we society and thought provokin on top the career path of we children  ,Positive
di costume designer dem understand wetin di assignment be and dem bring all to di table  nah  dis kin colabo and excellence we bin dey want for nollywood  ,Positive
edey fun to watch i enjoy to watch dis movie love di perspective of di writer and im visuals i like am say no be di regular nollywood movie,Positive
e dey a must foryou watch di documentary dey fantastic funny and emotional  e strike balance between buddy internal struggle and jazz fo nollywood ,Positive
petition for second season i too love dis show  i wish say make we have second season  i love am,Positive
better movie e good to watch am e dey thoughtful and forceful acting no dey e dey good,Positive
e get better acting performance dem wey sublime chemistry lubricate among dem actors,Positive
e dey funny and enjoyable,Positive
movie wey better pass for year 2021 though i bin no really understand di yoruba part dem but i enjoy di one wey i understand ,Positive
better movie to see yeaa strain nah lovely movie true true i enjoy am e comot tears for my eyes bcos i be as abd di dude wey i like too nah as so  we call am quit i fit relate wella to it bcos i see di picture of wetin fit happen if igo ahead for di relationship but di only challenge for me even though di tori line dey lovely nah di guy wey play di parental role for god sake dem no put action for di act at all di beards dey off for me bcos dem no need am  e no look real di mother no put emotion too  also  di part wey make me laugh hard nah when she go apologize to her daughter di way she talk say she dey sorry dey epic proper nigeria mother dey find it dificult to say sorry di doctor pay beautiful role no be di regular wey dem dey make us watch aside all dis i enjoy di movie i rate am 810 nah why i add am to my list for friend weekend watch  ,Positive
e no dey perfect but nah  good surprise,Positive
di actors wey dey mama drama give better performance so tey dat you go believe say dem dey experience all di pain joy and every emotion wey dey di movie ,Positive
di drama wey dey visually arresting for 2013 an certainly one of the year best film,Positive
e beats my imagination  amazing content and tori line nah one of di movie wey you go like watch plenty time a new dawn for nollywood kudos to di team,Positive
salute to kemi adetiba and everyone wey don work on dis great movie dis nah di best movie wey don ever come out of naija in a long time ,Positive
lionheart nah di best movie for me di comedy dey on point nkem owoh kill am and genevieve too do well,Positive
film showcase a dynamic look at nigeria from di lenses of a female protagonist wey dey navigate her way through a business culture  wey dey  dominated by male  di cheracters particularly di uncle dey funny and engaging ,Positive
excellent drama wey dey real di tori showcase nigeria people reality message wey dey worthy of di effort dey put into it di casting dey excellent  and you go enjoy di end,Positive
compelling and captivating beautiful colour dem and powerful performance camera angles dey invite you to every scene till di end you do well for di first shot,Positive
super cute comedy wey dey romantic   dis movie get fun funny and dm film am well well i really like am and di clothing and di style dey extral i highly recommend am  ,Positive
i think say dis nah excellent film and di actresses do excellent job,Positive
dos negative review for dis movie nah joke people suppose leave dia personal feeling and viewpoint out of am when dem dey review a movie and those wey dey petty enough to call di director as a liar dem dey claim say dis never happen nonsense dey equally ridiculous  nah movie im be dem create am to  entertain  and educate wetin concern me if nah fact or fiction di people wey dey get dis complaint fit dey believe dat hollywood trash like pearl harbor nah fiction dem dey alway be on top di technical aspect of dis movie  something wey really matter  farming nah beautiful artful shot slice of eye candy wey dey ironic condidering di grotesquely ugly themes fo di difficult movie kate beckinsale dey believable as di cockney speaking londoner wey bring extral cash into di house di nigerian pikin dem wey di parent wey no get means to raise dem leave for her care growing up in a place wey oyinbo people plenty where everyone get at least little racist and sometimes intensely racist against di people wey get skin colour as young enitan di nigeria boywey dey inside the alien world where everybody dey diffirent from him dis film dey about self identity and how di kin surroundings and upbringing dey shape di ki person wey we become and how our mind take dey work although enitan dey black he grow like every of im mate wey dey despise people wey get black skin what insane and theme wey dey unique for a film finally something wey dey different when enitan join body with skinhead gang wey bin dey always tortur him things begin dey intense indeed he call himself andy and shave off him offending afro him dey really despirate to be among di people e dey relate too even though dem no like am and dey always abuse him movies wey dey about skinhead culture dey rare maybe one dey appear every 10 years dis one standout from di one wey don dey di one wey include this england romper stomper and e dey similar in tone with made in britain with tim roth another one wey dey worthy of praise nah di actin of ni  farming as everyone give better action john dagleish give us ferocious performance as levi di leaderoh dem tilbury skinhead and di wey damson idris take potray di tortured enitan wey no like himself dey brave and e no get any fault dis movie dey destiny for cult statue as e find di right people wey go watch am di pathetic  1 star reviews show say di movie no reach di right audience oh well blade runner too nah flop when e first come out so nah time go tell i recommend farming  to people wey like edgy cinema an d wey no dey shy away from scenario wey no dey comfortable and for people wey get interest for skinhead youth culture of di 70s anda 80s e  dey similar to the krays and legend thank god say dis also nah british produce am e manage to avoid di sappy moralizing and pc garbage wey hoolywood think say dey need to put for e production,Positive
dem talk am with raw emotion and clear fight fight e change di element of im tori into coming of age drama wey dey disturbing and eye opening  ,Positive
nah great watch doctor lanre nah movie wey dem write well e capture our diffirent character and make me glue to my screen till di last minute nah great watch for everybody young or old married or single i go dey look out for oda review dem ,Positive
la femme anjola nah crimethriller wey dem pakage well well e deserve every award wey dey come e way i dey look forward to plenty beautiful toritelling like dis movie dem wey get all di outstanding qualities fit cost small but dem worth am nobody fit tell our tori like us and need to tell them in a way wey dey unique to us ,Positive
i love am i think say dey almost lose di plot for di end i love di whole myth and mystery thing wey dey go on i love di other language wey dem speak i no dey sure wetin e be but e sound well,Positive
e pass movie best ever plenty depth one of the movie dem wey better pass  plenty depth on life living grief faith doubt fear win ing failing and hope  i cry for person like to cry e dey really serious  congratulation to di team you do something wey dey spectacular ,Positive
love am  movie wey dey refreshing with humor an dbetter acting fit enjoy and even if you no wan to  fasing ,Positive
i love dis show i get great time to kate watch di show well well i no fit wait make season 2 come out ,Positive
better pass di day of our live  dey write am well act am well direct am well awesome soap opera wey dey about big boys dem in nigeria dis dey among my favourite series or production wey don comot for nigeria well done and enjoy,Positive
una dey improve fast fsat room for improvement still dey but una well done,Positive
nah 5 scenes dey love am,Positive
great movie di one wey better pass dis year 2020  di characters dey real and dem dey compelling di idea dat dem no portray di skin head gang  in di true light dey flawed and e no reduce how good di movie dey dramatization wey stand as a function of theater dey a bit exaggerated or twist am to buttress how raw di tori be and dat one dey excusable ,Positive
di movie get strong and compelling tori line with the lives and struggles of di characters touch wey dey close to di thing wey dey happen to some people wey dey watch dem for real life di acting dey very good and where dem use dey very perfect,Positive
dis one no be fable assimilation or alienation but rather di keenly observe tori of two people dem wey dey seek guidance in circumstances wey dey painful and complicated ,Positive
love tori wey fine  dis film deybhot like fire i dey so in love i no fit wait to watch am again di love dey too good i dey proud of nigerian movies ,Positive
oh my god i gat pause kob so fit write dis comment you be good writer dis movie dey blow person mind and dey open eye mo,Positive
